Name Mass Radius Orbit Smass Distance Habitable Method Year
"HATS-33 b" 378.98 13.78 0.04 1.06 355 0 "primary transit" 2016
"HATS-34 b" 299.18 16.02 0.03 0.95 532 0 "primary transit" 2016
"HATS-35 b" 388.52 16.4 0.03 1.32 557 0 "primary transit" 2016
"HATS-36 b" 887.05 14.15 0.05 1.14 977 0 "primary transit" 2017
"HATS-39 b" 200.3 17.58 0.06 1.38 773 0 "primary transit" 2018
"HATS-40 b" 505.52 17.7 0.05 1.56 1431 0 "primary transit" 2018
"HATS-41 b" 3084.02 14.9 0.05 1.5 800 0 "primary transit" 2018
"HATS-42 b" 597.73 15.68 0.04 1.27 942 0 "primary transit" 2018
"HATS-43 b" 82.98 13.22 0.05 0.84 341 0 "primary transit" 2017
"HATS-44 b" 178.05 11.95 0.04 0.86 463 0 "primary transit" 2017
"HATS-45 b" 222.56 14.4 0.05 1.27 818 0 "primary transit" 2017
"HATS-46 b" 55 10.11 0.04 0.92 448 0 "primary transit" 2017
"HATS-50 b" 124 12.66 0.04 1.17 717 0 "primary transit" 2017
"HATS-51 b" 244.18 15.79 0.04 1.19 478 0 "primary transit" 2017
"HATS-52 b" 712.19 15.48 0.02 1.11 631 0 "primary transit" 2017
"HATS-53 b" 189.17 15.01 0.04 0.96 613 0 "primary transit" 2017
"HATS-59 b" 256.26 12.61 0.06 1.04 654 0 "primary transit" 2018
"HATS-59 c" 4037.84 11.42 2.49 1.04 654 0 "radial velocity" 2018
"HD 142 b" 397.43 10.65 1.01 1.1 20.6 0 "radial velocity" 2001
"HD 142 c" 1685.08 11.68 6.65 1.1 20.6 0 "radial velocity" 2012
"HD 564 b" 104.92 7.9 1.19 0.92 54 0 "radial velocity" 2014
"HD 1461 b" 6.45 1.77 0.06 1.02 23.4 0 "radial velocity" 2009
"HD 1461 c" 5.6 1.71 0.11 1.02 23.4 0 "radial velocity" 2011
"HD 1502 b" 985.61 11.58 1.3 1.61 159 0 "radial velocity" 2011
"HD 1605 b" 305.22 10.19 1.48 1.31 84.6 0 "radial velocity" 2015
"HD 1605 c" 1106.43 11.62 3.5 1.31 84.6 0 "radial velocity" 2015
"HD 1666 b" 2044.35 11.68 0.73 1.5 110.6 0 "radial velocity" 2015
"HD 1690 b" 1939.43 11.68 1 1.09 319 0 "radial velocity" 2010
"HD 2039 b" 1942.61 11.68 1.66 0.98 89.8 0 "radial velocity" 2002
"HD 2638 b" 152.61 11.65 0.04 0.93 53.71 0 "radial velocity" 2005
"HD 2952 b" 508.7 11 1.19 2.54 115.2 0 "radial velocity" 2013
"HD 3167 b" 5.02 1.7 0.02 0.88 45.8 0 "primary transit" 2016
"HD 3167 c" 9.79 3.01 0.17 0.88 45.8 0 "primary transit" 2016
"HD 3167 d" 6.9 1.8 0.07 0.88 45.8 0 "radial velocity" 2017
"HD 3651 b" 73.44 7.11 0.24 0.79 11 0 "radial velocity" 2003
"HD 3651 c" 28.61 5.24 0.19 0.79 11 0 "radial velocity" 2013
"HD 4113 b" 495.99 10.97 0.55 0.99 44 0 "radial velocity" 2007
"HD 4203 b" 578.65 11.16 0.99 1.13 77.5 0 "radial velocity" 2001
"HD 4203 c" 689.93 11.34 7.03 1.13 77.5 0 "radial velocity" 2014
"HD 4208 b" 255.62 9.85 1.65 0.87 33.9 0 "radial velocity" 2001
"HD 4308 b" 12.88 4.01 0.11 0.85 21.9 0 "radial velocity" 2005
"HD 4313 b" 731.26 11.39 1.19 1.72 137 0 "radial velocity" 2010
"HD 4732 b" 753.52 11.41 1.18 1.74 56.5 0 "radial velocity" 2013
"HD 4732 c" 753.52 11.41 4.48 1.74 56.5 0 "radial velocity" 2013
"HD 4747 b" 19139.99 8.87 11.03 0.82 18.69 0 "radial velocity" 2016
"HD 5319 b" 616.8 11.23 1.74 1.56 100 0 "radial velocity" 2007
"HD 5319 c" 365.63 10.51 2.05 1.56 100 0 "radial velocity" 2016
"HD 5583 b" 1837.69 11.68 0.53 1.01 221 0 "radial velocity" 2016
"HD 5608 b" 445.12 10.82 1.9 1.55 58.2 0 "radial velocity" 2012
"HD 5891 b" 2416.34 11.66 0.76 1.91 251 0 "radial velocity" 2011
"HD 6434 b" 124 8.28 0.14 0.79 40.32 0 "radial velocity" 2000
"HD 6718 b" 495.99 10.97 3.54 0.96 55.9 0 "radial velocity" 2009
"HD 7199 b" 92.2 7.61 1.34 0.89 36 0 "radial velocity" 2011
"HD 7449 b" 352.91 10.45 1.32 1.05 39 0 "radial velocity" 2011
"HD 7449 c" 635.88 11.26 4.21 1.05 39 0 "radial velocity" 2011
"HD 7924 b" 8.68 11.76 0.06 0.83 16.8 0 "radial velocity" 2009
"HD 7924 c" 7.85 1.87 0.11 0.83 16.8 0 "radial velocity" 2015
"HD 7924 d" 6.45 1.77 0.15 0.83 16.8 0 "radial velocity" 2015
"HD 8535 b" 216.2 9.51 2.42 1.13 52.5 0 "radial velocity" 2009
"HD 8574 b" 670.85 11.31 0.74 1.17 44.2 0 "radial velocity" 2003
"HD 8673 b" 4514.75 11.33 2.09 1.35 38.25 0 "radial velocity" 2010
"HD 9174 b" 352.91 10.45 2.18 1.03 78.93 0 "radial velocity" 2016
"HD 9446 b" 222.56 9.57 0.19 1 53 0 "radial velocity" 2010
"HD 9446 c" 578.65 11.16 0.65 1 53 0 "radial velocity" 2010
"HD 9578 b" 197.12 9.31 1.27 1.12 57.24 0 "radial velocity" 2009
"HD 10180 c" 13.1 4.04 0.06 1.06 39.4 0 "radial velocity" 2010
"HD 10180 d" 11.75 3.89 0.13 1.06 39.4 0 "radial velocity" 2010
"HD 10180 e" 25.11 5.02 0.27 1.06 39.4 0 "radial velocity" 2010
"HD 10180 f" 23.91 4.94 0.49 1.06 39.4 0 "radial velocity" 2010
"HD 10180 g" 21.41 4.76 1.4 1.06 39.4 0 "radial velocity" 2010
"HD 10180 h" 64.42 6.83 3.39 1.06 39.4 0 "radial velocity" 2010
"HD 10647 b" 295.68 10.14 2.02 1.1 17.3 0 "radial velocity" 2003
"HD 10697 b" 2171.53 11.68 2.15 1.15 32.56 0 "radial velocity" 2000
"HD 11506 b" 1093.71 11.62 2.37 1.19 53.82 0 "radial velocity" 2007
"HD 11506 c" 260.71 9.89 0.58 1.19 53.82 0 "radial velocity" 2009
"HD 11755 b" 2066.61 11.68 1.06 0.9 231.5 0 "radial velocity" 2015
"HD 11964 b" 197.76 9.32 3.16 1.12 33.98 0 "radial velocity" 2005
"HD 11964 c" 25.12 5.02 0.22 1.12 33.98 0 "radial velocity" 2005
"HD 11977 b" 1999.84 11.68 1.73 1.91 66.5 0 "radial velocity" 2005
"HD 12484 b" 947.46 11.56 0.3 1.01 51.1 0 "radial velocity" 2016
"HD 12648 b" 922.03 11.54 0.54 1.2 158.4 0 "radial velocity" 2015
"HD 12661 b" 731.26 11.39 0.77 1.07 37.16 0 "radial velocity" 2000
"HD 12661 c" 499.17 10.98 2.56 1.07 37.16 0 "radial velocity" 2002
"HD 13189 b" 4451.16 11.34 1.78 4.5 185 0 "radial velocity" 2005
"HD 13808 b" 10.33 3.73 0.1 0.7 28.6 0 "radial velocity" 2011
"HD 13808 c" 11.45 3.86 0.22 0.7 28.6 0 "radial velocity" 2011
"HD 13908 b" 275.02 10 0.15 1.29 71.2 0 "radial velocity" 2013
"HD 13908 c" 1631.03 11.68 2.02 1.29 71.2 0 "radial velocity" 2013
"HD 13931 b" 597.73 11.19 5.15 1.02 44.2 0 "radial velocity" 2010
"HD 14067 b" 2479.93 11.65 2.88 2.4 163.4 0 "radial velocity" 2014
"HD 16141 b" 68.36 6.95 0.34 1.01 35.9 0 "radial velocity" 2000
"HD 16175 b" 1516.57 11.68 1.66 1.35 59.8 0 "radial velocity" 2007
"HD 16417 b" 21.94 4.8 0.14 1.18 25.5 0 "radial velocity" 2009
"HD 17092 b" 1462.52 11.68 1.27 2.3 109 0 "radial velocity" 2007
"HD 17156 b" 1015.82 12.26 0.12 1.27 78.24 0 "primary transit" 2007
"HD 17674 b" 276.61 10.01 1.42 0.98 44.5 0 "radial velocity" 2017
"HD 18742 b" 858.44 11.5 1.87 1.6 135 0 "radial velocity" 2011
"HD 19467 b" 16532.88 9.2 51.1 0.95 30.86 0 "imaging" 2016
"HD 19994 b" 534.14 11.06 1.35 1.34 22.38 0 "radial velocity" 2003
"HD 20003 b" 12.02 3.92 0.09 0.88 43.8 0 "radial velocity" 2011
"HD 20003 c" 13.42 4.07 0.19 0.88 43.8 0 "radial velocity" 2011
"HD 20367 b" 340.2 10.39 1.22 1.04 27 0 "radial velocity" 2002
"HD 20781 b" 12.05 3.93 0.17 0.76 35.4 0 "radial velocity" 2011
"HD 20781 c" 15.77 4.3 0.33 0.76 35.4 0 "radial velocity" 2011
"HD 20782 b" 604.09 11.21 0.34 1 36.02 0 "radial velocity" 2006
"HD 20794 b" 2.82 1.41 0.12 0.81 6.06 0 "radial velocity" 2011
"HD 20794 d" 3.53 1.5 0.35 0.81 6.06 0 "radial velocity" 2011
"HD 20794 e" 4.77 1.64 0.49 0.81 6.06 0 "radial velocity" 2017
"HD 20868 b" 632.7 11.25 0.63 0.78 48.9 0 "radial velocity" 2008
"HD 21693 b" 10.24 3.72 0.14 0.85 32.4 0 "radial velocity" 2011
"HD 21693 c" 20.58 4.69 0.26 0.85 32.4 0 "radial velocity" 2011
"HD 22781 b" 4339.88 11.36 0.67 0.75 31.79 0 "radial velocity" 2011
"HD 23079 b" 778.95 11.44 1.59 1.1 34.8 0 "radial velocity" 2001
"HD 23127 b" 476.91 10.92 2.16 1.13 89.1 0 "radial velocity" 2007
"HD 23596 b" 2575.31 11.65 2.75 1.27 52 0 "radial velocity" 2002
"HD 24040 b" 1274.94 11.66 4.92 1.18 46.51 0 "radial velocity" 2006
"HD 24064 b" 2988.64 11.6 1.21 1 264.4 0 "radial velocity" 2015
"HD 25171 b" 302.04 10.17 3.01 1.09 55 0 "radial velocity" 2010
"HD 27442 b" 429.22 10.77 1.16 1.2 18.1 0 "radial velocity" 2000
"HD 27631 b" 461.01 10.87 3.23 0.94 45.5 0 "radial velocity" 2011
"HD 27894 b" 211.43 9.46 0.12 0.8 42.37 0 "radial velocity" 2005
"HD 27894 c" 51.51 6.36 0.2 0.8 42.37 0 "radial velocity" 2017
"HD 27894 d" 1721.65 11.68 5.02 0.8 42.37 0 "radial velocity" 2017
"HD 28185 b" 1812.26 11.68 1.03 1.24 39.4 0 "radial velocity" 2001
"HD 28254 b" 368.81 10.53 1.26 1.06 56.2 0 "radial velocity" 2009
"HD 28678 b" 540.5 11.08 1.22 1.74 227 0 "radial velocity" 2011
"HD 29021 b" 763.06 11.42 2.03 0.85 30.6 0 "radial velocity" 2017
"HD 30177 b" 2565.78 11.65 3.52 1.05 54.7 0 "radial velocity" 2002
"HD 30177 c" 953.82 11.56 6.55 1.05 54.7 0 "radial velocity" 2016
"HD 30562 b" 410.14 10.7 1.49 1.22 26.5 0 "radial velocity" 2009
"HD 30669 b" 149.43 8.7 2.65 0.92 57 0 "radial velocity" 2014
"HD 30856 b" 572.29 11.15 1.94 1.35 118.1 0 "radial velocity" 2011
"HD 31253 b" 158.97 8.84 1.2 1.23 53.82 0 "radial velocity" 2010
"HD 31527 b" 11.54 3.87 0.12 0.96 38.6 0 "radial velocity" 2011
"HD 31527 c" 15.83 4.3 0.26 0.96 38.6 0 "radial velocity" 2011
"HD 31527 d" 16.5 4.36 0.76 0.97 38.6 0 "radial velocity" 2011
"HD 32518 b" 966.54 11.57 0.59 1.13 117.4 0 "radial velocity" 2009
"HD 33142 b" 413.32 10.71 1.03 1.48 126 0 "radial velocity" 2011
"HD 33283 b" 104.92 11.09 0.15 1.24 86 0 "radial velocity" 2006
"HD 33564 b" 2893.25 11.61 1.03 1.25 20.98 0 "radial velocity" 2005
"HD 33844 b" 623.16 11.24 1.58 1.75 100.9 0 "radial velocity" 2013
"HD 33844 c" 556.4 11.11 2.22 1.75 100.9 0 "radial velocity" 2015
"HD 34445 b" 199.98 9.34 2.07 1.07 46.5 0 "radial velocity" 2004
"HD 34445 c" 53.41 6.43 0.72 1.07 46.5 0 "radial velocity" 2017
"HD 34445 d" 30.84 5.37 0.48 1.07 46.5 0 "radial velocity" 2017
"HD 34445 e" 16.82 4.39 0.27 1.07 46.5 0 "radial velocity" 2017
"HD 34445 f" 37.83 5.75 1.54 1.07 46.5 0 "radial velocity" 2017
"HD 34445 g" 120.82 8.22 6.36 1.07 46.5 0 "radial velocity" 2017
"HD 35759 b" 1195.45 11.64 0.36 1.15 72.5 0 "radial velocity" 2016
"HD 37124 b" 214.61 9.49 0.53 0.83 33 0 "radial velocity" 1999
"HD 37124 c" 207.3 9.42 1.7 0.83 33 0 "radial velocity" 2005
"HD 37124 d" 221.29 9.56 2.77 0.83 33 0 "radial velocity" 2003
"HD 37605 b" 894.37 11.53 0.21 1 44 0 "radial velocity" 2004
"HD 37605 c" 1070.19 11.61 3.81 1 44 0 "radial velocity" 2012
"HD 38283 b" 108.1 7.97 0.93 1.08 37.7 0 "radial velocity" 2011
"HD 38529 b" 295.68 10.14 0.13 1.48 39.28 0 "radial velocity" 2000
"HD 38529 c" 7535.18 10.7 3.45 1.48 39.28 0 "radial velocity" 2002
"HD 38801 b" 3401.96 11.53 1.7 1.36 99.4 0 "radial velocity" 2010
"HD 38858 b" 30.55 5.36 1 0.9 15.2 0 "radial velocity" 2011
"HD 39091 b" 3274.78 11.55 2.6 1.1 18.32 0 "radial velocity" 2001
"HD 39194 b" 3.72 1.53 0.05 0.59 25.9 0 "radial velocity" 2011
"HD 39194 c" 5.95 1.74 0.09 0.59 25.9 0 "radial velocity" 2011
"HD 39194 d" 5.15 1.67 0.17 0.59 25.9 0 "radial velocity" 2011
"HD 39392 b" 4196.81 11.39 0.99 1.08 94.2 0 "radial velocity" 2016
"HD 40307 b" 3.82 1.54 0.05 0.77 12.8 0 "radial velocity" 2008
"HD 40307 c" 6.43 1.77 0.08 0.77 12.8 0 "radial velocity" 2008
"HD 40307 d" 8.74 1.92 0.13 0.77 12.8 0 "radial velocity" 2008
"HD 40307 e" 3.5 1.5 0.19 0.77 12.8 0 "radial velocity" 2012
"HD 40307 f" 3.62 1.52 0.25 0.77 12.8 0 "radial velocity" 2012
"HD 40307 g" 7.09 1.82 0.57 0.77 12.8 1 "radial velocity" 2012
"HD 40956 b" 858.44 11.5 1.36 2 118 0 "radial velocity" 2017
"HD 40979 b" 1274.94 11.66 0.82 1.1 33.3 0 "radial velocity" 2002
"HD 41004 A b" 807.57 11.46 1.51 0.7 42.5 0 "radial velocity" 2004
"HD 41004 B b" 5850.1 11.87 0.02 0.4 43.03 0 "radial velocity" 2004
"HD 41248 c" 7.09 1.82 0.11 0.92 52.38 0 "other" 2013
"HD 42012 b" 508.7 11 1.67 0.83 37.1 0 "radial velocity" 2017
"HD 42618 b" 14.4 4.17 0.54 1.01 23.5 0 "radial velocity" 2016
"HD 43197 b" 190.76 9.24 0.51 0.96 54.9 0 "radial velocity" 2009
"HD 43691 b" 791.67 11.45 0.24 1.38 93.2 0 "radial velocity" 2007
"HD 44219 b" 184.41 9.17 0.94 1 50.43 0 "radial velocity" 2009
"HD 45184 b" 12.72 4 0.06 1 21.9 0 "radial velocity" 2011
"HD 45350 b" 569.11 11.14 1.21 1.02 49 0 "radial velocity" 2004
"HD 45364 b" 59.52 6.66 0.67 0.82 32.6 0 "radial velocity" 2009
"HD 45364 c" 209.17 9.44 0.89 0.82 32.6 0 "radial velocity" 2009
"HD 45652 b" 149.43 8.7 0.21 0.83 36 0 "radial velocity" 2008
"HD 46375 b" 73.13 11.42 0.04 0.91 33.4 0 "radial velocity" 2000
"HD 47186 b" 22.79 4.86 0.05 0.99 37.84 0 "radial velocity" 2008
"HD 47186 c" 111.47 8.04 2.32 0.99 37.84 0 "radial velocity" 2008
"HD 47366 b" 556.4 11.11 1.21 1.81 80 0 "radial velocity" 2016
"HD 47366 c" 591.37 11.18 1.78 1.81 80 0 "radial velocity" 2016
"HD 47536 b" 1589.7 11.68 1.58 0.94 121.36 0 "radial velocity" 2003
"HD 48265 b" 368.81 10.53 1.49 0.93 87.4 0 "radial velocity" 2008
"HD 49674 b" 31.79 10.98 0.06 1.07 40.7 0 "radial velocity" 2002
"HD 50499 b" 543.68 11.09 3.76 1.27 47.26 0 "radial velocity" 2005
"HD 50554 b" 1640.57 11.68 2.09 1.04 31.03 0 "radial velocity" 2002
"HD 51608 b" 13.13 4.04 0.1 0.8 34.8 0 "radial velocity" 2011
"HD 51608 c" 17.96 4.49 0.35 0.8 34.8 0 "radial velocity" 2011
"HD 52265 b" 333.84 10.36 0.47 1.2 28 0 "radial velocity" 2000
"HD 52265 c" 111.28 8.04 0.32 1.2 28 0 "radial velocity" 2013
"HD 59686 A b" 2200.14 11.67 1.08 1.9 96.8 0 "radial velocity" 2003
"HD 60532 b" 2928.23 11.6 0.74 1.44 25.7 0 "radial velocity" 2008
"HD 60532 c" 6934.27 10.82 1.58 1.44 25.7 0 "radial velocity" 2008
"HD 62509 b" 922.03 11.54 1.69 1.47 10.34 0 "radial velocity" 2006
"HD 63454 b" 124 11.87 0.04 0.8 35.8 0 "radial velocity" 2005
"HD 63765 b" 203.48 9.38 0.92 0.86 32.6 0 "radial velocity" 2009
"HD 65216 b" 400.6 10.66 1.19 0.92 34.3 0 "radial velocity" 2003
"HD 65216 c" 54.05 6.46 0.54 0.92 34.3 0 "radial velocity" 2011
"HD 66141 b" 1907.64 11.68 1.2 1.1 80.9 0 "radial velocity" 2012
"HD 66428 b" 896.59 11.53 2.82 1.15 55 0 "radial velocity" 2006
"HD 67087 b" 972.9 11.57 1.06 1.36 88.8 0 "radial velocity" 2015
"HD 67087 c" 1542.01 11.68 2.51 1.36 88.8 0 "radial velocity" 2015
"HD 68402 b" 976.08 11.57 2.18 1.12 78 0 "radial velocity" 2016
"HD 68988 b" 591.37 11.18 0.07 1.2 58 0 "radial velocity" 2001
"HD 69830 b" 45.37 6.1 0.08 0.86 12.6 0 "radial velocity" 2006
"HD 69830 c" 52.43 6.39 0.18 0.86 12.6 0 "radial velocity" 2006
"HD 69830 d" 80.41 7.31 0.63 0.86 12.6 0 "radial velocity" 2006
"HD 70642 b" 635.88 11.26 3.28 1 28.8 0 "radial velocity" 2003
"HD 72659 b" 1001.51 11.58 4.62 0.95 49.8 0 "radial velocity" 2002
"HD 72892 b" 1732.77 11.68 0.21 1.02 72.78 0 "radial velocity" 2016
"HD 73256 b" 594.55 11.19 0.04 1.05 36.5 0 "radial velocity" 2003
"HD 73267 b" 972.9 11.57 2.12 0.89 54.91 0 "radial velocity" 2008
"HD 73526 b" 715.37 11.37 0.62 1.08 99 0 "radial velocity" 2002
"HD 73526 c" 715.37 11.37 0.99 1.08 99 0 "radial velocity" 2006
"HD 73534 b" 365.63 10.51 3.15 1.29 96.99 0 "radial velocity" 2009
"HD 74156 b" 565.3 11.13 0.22 1.24 64.56 0 "radial velocity" 2003
"HD 74156 c" 2542.57 11.65 3.53 1.24 64.56 0 "radial velocity" 2003
"HD 75289 b" 149.43 11.54 0.05 1.05 28.94 0 "radial velocity" 1999
"HD 75784 b" 365.63 10.51 1.06 1.41 68.7 0 "primary transit" 2014
"HD 75784 c" 1780.46 11.68 6.06 1.41 68.7 0 "primary transit" 2015
"HD 75898 b" 798.03 11.45 1.18 1.28 80.58 0 "radial velocity" 2007
"HD 76700 b" 73.13 11.09 0.05 1 59.7 0 "radial velocity" 2002
"HD 76920 b" 1249.5 11.66 0.59 1.17 184.8 0 "radial velocity" 2017
"HD 77065 b" 13035.54 9.7 0.32 0.75 31.7 0 "radial velocity" 2016
"HD 77338 b" 158.97 8.84 0.06 0.93 40.75 0 "radial velocity" 2012
"HD 79498 b" 426.04 10.76 2.53 1.06 49 0 "radial velocity" 2012
"HD 80606 b" 1252.68 10.32 0.16 0.98 58.4 0 "primary transit" 2001
"HD 81040 b" 2181.07 11.67 1.65 0.96 32.56 0 "radial velocity" 2005
"HD 81688 b" 562.75 11.13 0.66 2.1 88.26 0 "radial velocity" 2008
"HD 82886 b" 413.32 10.71 1.59 1.06 125 0 "radial velocity" 2011
"HD 82943 b" 4610.13 11.31 1.17 1.18 27.46 0 "radial velocity" 2003
"HD 82943 c" 4575.16 11.32 0.68 1.18 27.46 0 "radial velocity" 2003
"HD 82943 d" 92.2 7.61 2.15 1.18 27.46 0 "radial velocity" 2013
"HD 83443 b" 127.18 11.65 0.04 0.9 43.54 0 "radial velocity" 2002
"HD 85390 b" 41.97 5.95 1.39 0.76 33.96 0 "radial velocity" 2009
"HD 85390 c" 63.59 6.8 4.23 0.76 33.96 0 "radial velocity" 2013
"HD 85512 b" 3.5 1.5 0.26 0.69 11.15 0 "radial velocity" 2011
"HD 86081 b" 476.91 12.1 0.04 1.21 91 0 "radial velocity" 2006
"HD 86226 b" 476.91 10.92 1.78 1.02 42.48 0 "radial velocity" 2010
"HD 86264 b" 2225.58 11.67 2.04 1.42 72.6 0 "radial velocity" 2009
"HD 86950 b" 1144.58 11.63 2.68 1.66 169 0 "radial velocity" 2016
"HD 88133 b" 95.38 11.2 0.05 1.2 74.5 0 "radial velocity" 2004
"HD 89307 b" 635.88 11.26 3.23 1.03 30.9 0 "radial velocity" 2004
"HD 89345 b" 32.75 6.9 0.11 1.23 126.6 0 "primary transit" 2018
"HD 89744 b" 2829.67 11.62 0.63 1.4 40 0 "radial velocity" 2000
"HD 89744 c" 1017.41 11.59 0.44 1.4 40 0 "radial velocity" 2013
"HD 90156 b" 18.12 4.5 0.24 0.84 39.6 0 "radial velocity" 2009
"HD 92788 b" 8819.66 10.44 0.91 1.13 32.82 0 "radial velocity" 2000
"HD 92788 c" 286.15 10.07 0.6 1.13 32.82 0 "radial velocity" 2013
"HD 93083 b" 117.64 8.16 0.47 0.7 28.9 0 "radial velocity" 2005
"HD 93385 b" 8.36 1.9 0.11 1.07 42.2 0 "radial velocity" 2011
"HD 93385 c" 10.11 3.71 0.25 1.07 42.2 0 "radial velocity" 2011
"HD 95086 b" 1398.94 11.67 60.45 1.6 90.4 0 "imaging" 2013
"HD 95089 b" 381.53 10.58 1.49 1.58 139 0 "radial velocity" 2010
"HD 95127 b" 1592.88 11.68 1.27 1.2 300 0 "radial velocity" 2015
"HD 95872 b" 1462.52 11.68 5.19 0.95 7.56 0 "radial velocity" 2015
"HD 96063 b" 286.15 10.07 0.95 1.02 158 0 "radial velocity" 2011
"HD 96127 b" 1271.76 11.66 1.34 0.91 540 0 "radial velocity" 2011
"HD 96167 b" 216.2 9.51 0.92 1.31 84 0 "radial velocity" 2009
"HD 96700 b" 9.03 1.93 0.08 0.94 25.6 0 "radial velocity" 2011
"HD 96700 c" 12.72 4 0.39 0.94 25.6 0 "radial velocity" 2011
"HD 97658 b" 7.55 2.25 0.08 0.85 21.1 0 "primary transit" 2010
"HD 98219 b" 572.29 11.15 1.2 1.3 134 0 "radial velocity" 2011
"HD 98649 b" 2161.99 11.68 2.95 0.96 40.3 0 "radial velocity" 2011
"HD 99109 b" 159.61 8.85 1.1 0.93 60.5 0 "radial velocity" 2006
"HD 99492 b" 25.12 5.02 0.12 0.83 18 0 "radial velocity" 2004
"HD 99706 b" 445.12 10.82 1.99 1.72 129 0 "radial velocity" 2011
"HD 100655 b" 540.5 11.08 0.76 2.4 122 0 "radial velocity" 2011
"HD 100777 b" 368.81 10.53 0.96 1 52.8 0 "radial velocity" 2007
"HD 101930 b" 95.38 7.69 0.3 0.74 30.49 0 "radial velocity" 2005
"HD 102117 b" 54.69 6.48 0.15 1.03 42 0 "radial velocity" 2004
"HD 102195 b" 143.07 8.61 0.05 0.93 28.98 0 "radial velocity" 2005
"HD 102272 b" 1875.85 11.68 0.61 1.9 360 0 "radial velocity" 2008
"HD 102272 c" 826.64 11.48 1.15 1.9 360 0 "radial velocity" 2008
"HD 102329 b" 1875.85 11.68 1.96 1.95 158 0 "radial velocity" 2011
"HD 102365 b" 15.9 4.31 0.43 0.85 9.24 0 "radial velocity" 2011
"HD 102956 b" 305.22 10.19 0.08 1.68 126 0 "radial velocity" 2010
"HD 103197 b" 31.16 5.39 0.25 0.9 49.3 0 "radial velocity" 2009
"HD 103720 b" 197.12 9.31 0.05 0.79 41.6 0 "radial velocity" 2014
"HD 103774 b" 116.68 8.14 0.07 1.33 55 0 "radial velocity" 2013
"HD 104067 b" 59.14 6.65 0.26 0.79 20.8 0 "radial velocity" 2009
"HD 104985 b" 2638.9 11.64 0.95 1.6 102 0 "radial velocity" 2003
"HD 106252 b" 10447.51 10.13 2.38 0.96 37.44 0 "radial velocity" 2002
"HD 106270 b" 3497.34 11.52 3.94 1.32 84.9 0 "radial velocity" 2011
"HD 106315 b" 12.59 2.44 0.09 1.07 107.3 0 "primary transit" 2017
"HD 106315 c" 15.2 3.94 0.15 1.07 107.3 0 "primary transit" 2017
"HD 106515 A b" 3055.4 11.59 3.76 0.91 35.2 0 "radial velocity" 2011
"HD 106906 b" 3497.34 11.52 654 1.5 92 0 "imaging" 2013
"HD 107148 b" 66.77 6.9 0.27 1.12 51.3 0 "radial velocity" 2006
"HD 108147 b" 82.98 7.38 0.09 1.19 38.57 0 "radial velocity" 2002
"HD 108341 b" 1112.79 11.62 1.05 0.84 49.4 0 "radial velocity" 2014
"HD 108863 b" 826.64 11.48 1.39 1.85 139 0 "radial velocity" 2011
"HD 108874 b" 432.4 10.78 1.05 1 68.5 0 "radial velocity" 2003
"HD 108874 c" 323.66 10.3 2.59 1 68.5 0 "radial velocity" 2005
"HD 109246 b" 244.81 9.77 0.33 1.01 65.6 0 "radial velocity" 2010
"HD 109271 b" 17.17 4.42 0.08 1.05 62 0 "radial velocity" 2013
"HD 109271 c" 24.16 4.95 0.19 1.05 62 0 "radial velocity" 2013
"HD 109749 b" 89.02 11.09 0.06 1.2 59 0 "radial velocity" 2005
"HD 110014 b" 3401.96 11.53 2.23 2.17 90 0 "radial velocity" 2009
"HD 110014 c" 985.61 11.58 0.57 2.17 90 0 "radial velocity" 2015
"HD 111232 b" 2161.99 11.68 1.93 0.78 29 0 "radial velocity" 2004
"HD 111591 b" 1398.94 11.67 2.41 1.94 108 0 "radial velocity" 2017
"HD 113337 b" 899.77 11.53 0.82 1.4 36.9 0 "radial velocity" 2013
"HD 113538 b" 114.46 8.1 1.23 0.58 15.8 0 "radial velocity" 2010
"HD 113538 c" 295.68 10.14 2.39 0.58 15.8 0 "radial velocity" 2010
"HD 113996 b" 2003.02 11.68 1.54 1.49 102 0 "radial velocity" 2017
"HD 114386 b" 394.25 10.64 0.99 0.75 28 0 "radial velocity" 2003
"HD 114386 c" 378.35 10.57 1.83 0.75 28 0 "radial velocity" 2011
"HD 114613 b" 152.61 8.75 5 1.36 20.67 0 "radial velocity" 2014
"HD 114729 b" 267.07 9.94 1.97 0.93 35 0 "radial velocity" 2002
"HD 114762 b" 3490.98 11.52 0.33 0.84 39.46 0 "radial velocity" 1989
"HD 114783 b" 2003.02 11.68 1.15 0.92 20.4 0 "radial velocity" 2001
"HD 116029 b" 667.67 11.31 1.69 1.58 123.2 0 "radial velocity" 2011
"HD 117207 b" 654.96 11.29 3.73 1.07 33 0 "radial velocity" 2004
"HD 117618 b" 56.59 6.55 0.16 1.05 38 0 "radial velocity" 2004
"HD 117618 c" 63.59 6.8 0.93 1.05 38 0 "radial velocity" 2013
"HD 118203 b" 680.39 11.76 0.07 1.23 88.6 0 "radial velocity" 2005
"HD 120084 b" 1430.73 11.68 3.23 2.39 97.7 0 "radial velocity" 2013
"HD 121504 b" 387.89 10.61 0.33 1.18 44.37 0 "radial velocity" 2003
"HD 122562 b" 7630.56 10.68 2.89 1.13 53.8 0 "radial velocity" 2016
